Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
people,en,people,"1,8",c,,,,
jersey,en,jersey,4,c,,,,
muerte,es,death,6,c,,,,
cuidad,es,city,5,c,,,,
fuego,es,fire,"6,7,9",c,,,,
dahak,ar,to laugh,9,,c,,,
yeah,en,yeah,8,,,,,c
tonight,en,tonight,9,,,,c,
slang,en,slang,9,c,,,,
game,en,game,9,c,,,,
pocket,en,pocket,4,c,,,,
pickpocket,en,pickpocket,"2,6",c,,,,
pickpockets,en,pickpocket inf,"2,6",c,,,,
motherfuck,en,motherfucker,8,c,,,,c
coke,en,cocaine,3,c,,,,
rapper,en,rap inf,10,c,,,,
rappeur,en,rap inf,10,c,,,,
rappeurs,en,rap inf,10,c,,,,
hey,en,hey,8,,,,,c
khey,ar,brother/bro/dude,"1,8",c,,,,
kheys,ar,khey inf,"1,8",c,,,,
kho,ar,khey inf,"1,8",c,,,,
hip-hop,ve,hip-hop,10,c,,,,
honey,en,honey or affection term,"3,8",c,,,,
cook,en,"cook, do well on something, music","3,8,10",c,c,,,
cookin,en,cook inf,"3,8,10",,c,,,
cooking,en,cook inf,"3,8,10",,c,,,
cookie,en,"dessert, drugs",3,c,,,,
cookies,en,cookie inf,3,c,,,,
ex,en,former (often referring to past relationships),9,c,,c,,
night,en,night,9,c,,,,
nights,en,night inf,9,c,,,,
bag,en,bag/money/stuff with drugs,4,c,,,,
fight,en,fight,6,c,c,,,
hippies,en,hippies,1,c,,,,
punk,en,punk (80s music or insult),"8,10",c,,c,,
high,en,high physically or on drugs,"3,9",,,c,,
speed,en,speed,"3,9",c,,c,,
hess,ar,difficult situation,6,c,,,,
nehess,ar,sleep,9,,c,,,
baby,en,baby (usually affectionate),8,c,,,,
boof,en,"drugs, sometimes sex",3,c,,,,
wicked,en,"wicked (evil, cool)",8,,,c,,
down bad,ve,"bad situation, attracted w/o dignity",8,,,c,,
doudou,ant,sweetheart,8,c,,,,
latex,en,material but usually in context condom,7,c,,,,
rajel,ar,men (macho),1,c,,,,
hi,en,hello (casual),8,,,,,c
check,en,check (money or checking for stuff),9,c,,,,
checker,en,check inf,9,,c,,,
schnek,de,pussy/slut,7,c,,,,
schneks,de,schnek inf,7,c,,,,
schneck,de,schnek spelling,7,c,,,,
poucave,rm,snitch,6,c,c,,,
poucaves,rm,poucave inf,6,c,c,,,
lady,en,lady,"1,8",c,,,,
ladies,en,lady inf,"1,8",c,,,,
gentleman,en,gentleman,"1,8",c,,,,
belek,ar,watch out,8,,,,,c
beleck,ar,belek spelling,8,,,,,c
belec,ar,belek spelling,8,,,,,c
wife,en,wife,8,c,,,,
wifey,en,wife inf (ish),8,c,,,,
film,en,film,4,c,,,,
filme,en,film inf,4,,c,,,
films,en,film inf,4,c,,,,
filmes,en,film inf,4,c,c,,,
gun,en,gun,"4,6",c,,,,
guns,en,gun inf,"4,6",c,,,,
gunshot,en,gunshot,"4,6",c,,,,
shot,en,"gunshot or drink, getting girl or sports","3,6,8",c,,,,
shots,en,shot inf,"3,6,8",c,,,,
shoot,en,shot inf,"6,8",,c,,,
shoots,en,shot inf,"6,8",,c,,,
shooting,en,shot inf,6,,c,,,
shooters,en,shot inf,"2,6",c,,,,
